FEATURE_ID,FEATURE_NAME,FEATURE_CLASS,STATE_ALPHA,COUNTY_NAME,PRIM_LAT_DEC,PRIM_LONG_DEC,ELEV_IN_M,MAP_NAME
598594,Callahan Elementary School,School,MA,Essex,42.4674324,-70.9843688,7,Lynn
598595,Lynn Classical High School,School,MA,Essex,42.4639852,-70.9567163,9,Lynn
598596,O'Keefe Alternative High School,School,MA,Essex,42.4687073,-70.9592164,12,Lynn
598597,Lewis School,School,MA,Essex,42.470374,-70.9606053,13,Lynn
598598,Saint Pius V Elementary School,School,MA,Essex,42.478985,-70.9503274,16,Lynn
598599,Pickering Junior High School,School,MA,Essex,42.4870403,-70.9581055,22,Lynn
598600,North Shore School,School,MA,Essex,42.4881515,-70.9542165,39,Lynn
598601,Sewall Anderson School,School,MA,Essex,42.473985,-70.96755,30,Lynn
598602,Aldworth School,School,MA,Essex,42.4723182,-70.9875505,10,Lynn
598603,Breed School,School,MA,Essex,42.4598185,-70.9742166,3,Lynn
598604,Saint Patricks School,School,MA,Essex,42.4550964,-70.9700499,3,Lynn
598605,Saint Michaels School,School,MA,Essex,42.4587074,-70.9706054,6,Lynn
598606,Tracy School,School,MA,Essex,42.4687073,-70.966161,10,Lynn
598607,Squaw Rock,Island,MA,Norfolk,42.3028764,-71.0119936,12,Boston South
598608,Sacred Heart Elementary School,School,MA,Essex,42.4681518,-70.9703277,10,Lynn
598609,Lincoln School,School,MA,Essex,42.4667629,-70.9781057,8,Lynn
598610,Emerson School,School,MA,Essex,42.4500963,-70.9972727,14,Lynn
598611,Ballard School,School,MA,Essex,42.4537074,-70.9906059,5,Lynn
598612,Saint Joseph School,School,MA,Essex,42.4664852,-70.9411604,12,Lynn
598613,Hood School,School,MA,Essex,42.478985,-70.9403271,14,Lynn
598614,Lynn English High School,School,MA,Essex,42.4773183,-70.9453272,13,Lynn
598615,Hadley School,School,MA,Essex,42.4684296,-70.9172709,7,Lynn
598616,Saint Johns School,School,MA,Essex,42.4673186,-70.9161598,10,Lynn
598617,Wilson School,School,MA,Essex,42.4292637,-70.9253262,11,Lynn
598618,Johnson School,School,MA,Essex,42.4239859,-70.9322708,4,Lynn
598619,Northeastern University Edwards Laboratory,School,MA,Essex,42.4189876,-70.445314,0,Lynn
598620,Valley Road School,School,MA,Essex,42.425097,-70.9222705,7,Lynn
598621,Junior High School,School,MA,Essex,42.5039848,-70.866159,22,Marblehead North
598622,Seaside Park,Park,MA,Essex,42.4959294,-70.8578252,5,Marblehead South
598623,Star of the Sea School,School,MA,Essex,42.4970404,-70.8578252,7,Marblehead South
598624,Star of the Sea Catholic Church,Church,MA,Essex,42.497596,-70.8581031,11,Marblehead South
598625,Doctor Samuel C Eveleth School,School,MA,Essex,42.4850962,-70.8789367,7,Lynn
598626,Glover School,School,MA,Essex,42.4906517,-70.8786591,13,Lynn
598627,Shaw Junior High School,School,MA,Essex,42.4750963,-70.9003261,17,Lynn
598628,Saint Stephens Methodist Church,Church,MA,Essex,42.493985,-70.8694922,13,Marblehead South
598629,Alley Hospital,Hospital,MA,Essex,42.4945405,-70.8703255,9,Marblehead South
598630,Elbridge Gerry School,School,MA,Essex,42.5075959,-70.8514363,13,Marblehead North
598631,L H Coffin School,School,MA,Essex,42.5084292,-70.8578254,22,Marblehead North
598632,Story School,School,MA,Essex,42.5409287,-70.8458812,0,Marblehead North
598633,Roads School,School,MA,Essex,42.5414842,-70.8739375,0,Marblehead North
598634,Malcolm L Bell School,School,MA,Essex,42.540651,-70.8711597,0,Marblehead North
598635,Lighthouse Point,Cape,MA,Essex,42.5073182,-70.8344915,0,Marblehead North
598636,Abbot Hall,Building,MA,Essex,42.5028738,-70.8528252,18,Marblehead North
598637,Bobby Harris Pond,Reservoir,MA,Essex,42.5069039,-70.8682405,16,Marblehead North
598638,Old Churm,Beach,MA,Essex,42.5062071,-70.8333804,0,Marblehead North
598639,Marblehead Lighthouse,Populated Place,MA,Essex,42.5062071,-70.8339359,0,Marblehead North
598640,Garmet Beach,Beach,MA,Essex,42.498985,-70.8356025,15,Marblehead South
598641,The Bridge Causeway,Bridge,MA,Essex,42.4917629,-70.8506028,4,Marblehead South
598642,Cowfort,Beach,MA,Essex,42.4870406,-70.8542139,0,Marblehead South
598643,Greystone Beach,Beach,MA,Essex,42.4870406,-70.8653253,21,Marblehead South
598644,Central Wharf,Locale,MA,Essex,42.5200899,-71.8870189,270,Gardner
598645,Site of Thoreaus Cabin,Locale,MA,Middlesex,42.4412055,-71.3422815,49,Concord
598646,Old Manse,Building,MA,Middlesex,42.4709272,-71.3489485,36,Concord
598647,Wright Tavern,Building,MA,Middlesex,42.4598163,-71.3478373,42,Concord
598648,Emerson House,Building,MA,Middlesex,42.457872,-71.3433927,41,Concord
598649,Orchard House,Building,MA,Middlesex,42.4584275,-71.3350592,40,Concord
598650,Josiah Nelson House Site,Locale,MA,Middlesex,42.451206,-71.2733905,67,Concord
598651,Hancock-Clarke House,Building,MA,Middlesex,42.4550951,-71.2283893,66,Lexington
598652,Munroe Tavern,Building,MA,Middlesex,42.440651,-71.2158889,62,Lexington
598653,Buckman Tavern,Building,MA,Middlesex,42.4495396,-71.2295004,68,Lexington
598654,Taconic Trail State Park,Park,MA,Berkshire,42.7167465,-73.2662195,448,Berlin
598655,Beartown State Forest,Forest,MA,Berkshire,42.2334216,-73.2745524,525,Great Barrington
598656,Bates Memorial State Park,Park,MA,Berkshire,42.429251,-73.3662195,480,Pittsfield West
598657,Pittsfield State Forest,Forest,MA,Berkshire,42.4750835,-73.3378848,589,Pittsfield West
598658,Rockdale Cemetery,Cemetery,MA,Berkshire,42.2904196,-73.3752275,268,State Line
598659,West Stockbridge Cemetery,Cemetery,MA,Berkshire,42.3478651,-73.3798052,286,State Line
598660,West Center Cemetery,Cemetery,MA,Berkshire,42.3059759,-73.4032961,361,State Line
598661,Saint Patricks Cemetery,Cemetery,MA,Berkshire,42.3505125,-73.3837877,287,State Line
598662,Riverside Cemetery,Cemetery,MA,Berkshire,42.2000892,-73.4376143,241,Egremont
598663,Simons Rock Early College,School,MA,Berkshire,42.2112001,-73.3815009,234,Egremont
598664,Cornwall Academy,School,MA,Berkshire,42.1812006,-73.3906689,236,Egremont
598665,Carmelite Novitiate,Church,MA,Berkshire,42.68572,-73.25163,336,Berlin
598666,Berkshire School,School,MA,Berkshire,42.1167573,-73.4162276,264,Bash Bish Falls
598667,Union Church,Church,MA,Berkshire,42.1000908,-73.4537293,511,Bash Bish Falls
598668,Churchill Cemetery,Cemetery,MA,Berkshire,42.0890341,-73.4078356,225,Bash Bish Falls
598671,Mount Everett Regional School,School,MA,Berkshire,42.1070353,-73.3751155,210,Bash Bish Falls
598672,Richmond Consolidated School,School,MA,Berkshire,42.3806409,-73.367609,330,Pittsfield West
598673,Abby Lodge School,School,MA,Berkshire,42.4111963,-73.2509385,327,Pittsfield West
598674,Stearns School,School,MA,Berkshire,42.4375845,-73.2995508,322,Pittsfield West
598675,Osceola Park,Park,MA,Berkshire,42.4417512,-73.2870504,312,Pittsfield West
598676,Saint Teresa Church,Church,MA,Berkshire,42.4398069,-73.2573273,307,Pittsfield West
598677,Clapp Park,Park,MA,Berkshire,42.4403625,-73.2642719,308,Pittsfield West
598678,Pomeroy School,School,MA,Berkshire,42.4434179,-73.2634386,306,Pittsfield West
598679,Crosby Junior High School,School,MA,Berkshire,42.4495288,-73.2728832,338,Pittsfield West
598680,Saint Marks Middle School,School,MA,Berkshire,42.4536955,-73.2670497,320,Pittsfield West
598681,Saint Josephs High School,School,MA,Berkshire,42.4542512,-73.2512159,317,Pittsfield West
598682,Berkshire Medical Center Hillcrest Campus,Hospital,MA,Berkshire,42.4580602,-73.2811266,356,Pittsfield West
598683,Berkshire Community College,School,MA,Berkshire,42.4598062,-73.3148288,361,Pittsfield West
598684,Taconic High School,School,MA,Berkshire,42.4595287,-73.2731609,344,Pittsfield West
598685,Wahcohah Park,Park,MA,Berkshire,42.4625843,-73.2578826,302,Pittsfield West
598686,Pittsfield Cemetery,Cemetery,MA,Berkshire,42.4667425,-73.2609316,317,Pittsfield West
